Player Name,Team,Goals,Assists,Minutes Played,Completed Passes,Incomplete Passes,Tackles,Interceptions,Dribbles,Shots,Saves,Clean Sheets
M. Kinsey,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
F. Okoh,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
M. Bech,N/A,0.0,,N/A,7.0,-7,,N/A,N/A,,N/A,N/A
L. Taylor,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
N. Bishop,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
J. Furlong,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
K. John,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
L. Brunt,N/A,0.0,,N/A,16.0,-16,,N/A,N/A,,N/A,N/A
D. Chesters,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
M. Craig,N/A,0.0,,N/A,6.0,-6,4.0,N/A,N/A,,N/A,N/A
A. Okonkwo,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
J. Gordon,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
S. Revan,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
S. McAllister,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
S. Mills,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
R. Welch,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
D. Edwards,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
L. Harris,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
T. Adaramola,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
O. Goodman,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
D. Adu-Adjei,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
Michael Dacosta,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
C. Coventry,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
T. Fosu,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
A. Lonergan,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
K. Watts,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
C. Ramsay,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
O. Zych,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
T. Hill,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
J. Norris,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
G. Wickens,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
M. Smith,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
H. Davies,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
L. Mbete,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
I. Mabaya,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
R. Bennett,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
L. Chambers,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
M. Dibley-Dias,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
M. Olakigbe,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
S. Swinkels,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
T. Patterson,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
K. Young,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
C. Goode,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
J. Steer,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
H. White,N/A,0.0,,N/A,5.0,-5,,N/A,N/A,,N/A,N/A
K. Swyer,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
L. Richards,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
T. Ablade,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
H. Griffiths,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
J. Wright,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
S. Parkes,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
K. Casey,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
L. Orford,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
R. Clayton,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
Luizão,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
O. Scarles,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
C. Robinson,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
I. Samuels-Smith,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
J. Morgan,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
K. Šekularac,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
D. Taylor,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
C. McFarlane,N/A,0.0,,N/A,,N/A,,N/A,N/A,,N/A,N/A
